###>
ligne:11   start:T16(16:38)   end:T17(17:32)
Nb trajet totale pour le bus 17 : 8
###>
ligne:1   start:T1(17:16)   end:T2(17:53)
ligne:1   start:T2(08:42)   end:T1(09:10)
ligne:1   start:T2(18:22)   end:T1(18:50)
ligne:2   start:T5(06:59)   end:T4(07:21)
ligne:2   start:T5(12:43)   end:T4(13:05)
ligne:3   start:T2(11:02)   end:T4(11:40)
ligne:10   start:T15(14:41)   end:T16(15:06)
ligne:10   start:T16(15:53)   end:T15(16:26)
ligne:14   start:T14(13:57)   end:T15(14:25)
Nb trajet totale pour le bus 18 : 9
###>
ligne:1   start:T1(16:16)   end:T2(16:53)
ligne:1   start:T2(08:02)   end:T1(08:30)
ligne:3   start:T2(05:48)   end:T4(06:23)
ligne:10   start:T16(12:10)   end:T14(12:58)
ligne:11   start:T17(10:22)   end:T16(11:16)
ligne:12   start:T18(13:19)   end:T2(14:06)
ligne:13   start:T20(17:45)   end:T16(18:28)
ligne:14   start:T14(15:00)   end:T15(15:28)
Nb trajet totale pour le bus 19 : 8
###>
ligne:1   start:T2(19:02)   end:T1(19:30)
ligne:2   start:T5(07:19)   end:T4(07:41)
ligne:5   start:T10(10:52)   end:T11(11:12)
ligne:10   start:T15(15:49)   end:T16(16:14)
ligne:10   start:T16(14:48)   end:T15(15:21)
ligne:10   start:T16(17:10)   end:T14(18:04)
ligne:12   start:T2(11:51)   end:T18(12:38)
ligne:15   start:T22(13:33)   end:T23(13:56)
Nb trajet totale pour le bus 20 : 8
###>
ligne:1   start:T1(07:16)   end:T2(07:53)
ligne:1   start:T1(08:56)   end:T2(09:33)
ligne:1   start:T2(06:42)   end:T1(07:10)
ligne:3   start:T2(09:43)   end:T4(10:21)
ligne:10   start:T15(14:21)   end:T16(14:46)
ligne:11   start:T17(15:40)   end:T16(16:36)
ligne:11   start:T16(17:18)   end:T17(18:12)
ligne:12   start:T18(19:23)   end:T19(19:26)
ligne:12   start:T2(12:30)   end:T18(13:17)
ligne:14   start:T14(10:52)   end:T15(11:20)
Nb trajet totale pour le bus 21 : 10
###>
ligne:1   start:T2(07:02)   end:T1(07:30)
ligne:1   start:T2(15:22)   end:T1(15:50)
ligne:2   start:T5(12:25)   end:T4(12:50)
ligne:2   start:T5(17:40)   end:T4(18:04)
ligne:3   start:T4(08:05)   end:T2(08:35)
ligne:3   start:T4(13:26)   end:T2(13:56)
ligne:6   start:T5(14:37)   end:T2(14:52)
ligne:6   start:T2(09:00)   end:T5(09:10)
ligne:9   start:T2(18:35)   end:T13(19:16)
ligne:10   start:T16(10:49)   end:T15(11:22)
Nb trajet totale pour le bus 22 : 10
###>
ligne:1   start:T1(06:56)   end:T2(07:33)
ligne:2   start:T4(06:05)   end:T5(06:25)
ligne:3   start:T4(10:46)   end:T2(11:16)
ligne:3   start:T2(10:02)   end:T4(10:40)
ligne:3   start:T2(11:44)   end:T4(12:22)
ligne:3   start:T2(12:45)   end:T4(13:20)
ligne:5   start:T10(14:18)   end:T11(14:38)
ligne:6   start:T5(09:37)   end:T2(09:52)
ligne:7   start:T12(08:25)   end:T5(08:51)
ligne:7   start:T5(18:30)   end:T12(18:59)
ligne:15   start:T23(17:01)   end:T22(17:25)
Nb trajet totale pour le bus 23 : 11
###>
ligne:2   start:T4(08:35)   end:T5(09:01)
ligne:2   start:T4(13:15)   end:T5(13:35)
ligne:2   start:T5(09:20)   end:T4(09:45)
ligne:2   start:T5(16:59)   end:T4(17:23)
ligne:2   start:T5(19:00)   end:T4(19:22)
ligne:3   start:T2(06:26)   end:T4(07:01)
ligne:7   start:T5(13:50)   end:T12(14:19)
ligne:12   start:T2(15:37)   end:T18(16:24)
ligne:13   start:T16(11:19)   end:T20(12:06)
ligne:13   start:T16(20:00)   end:T20(20:43)
Nb trajet totale pour le bus 24 : 10
###>
ligne:1   start:T1(09:56)   end:T2(10:33)
