#Bentoumi Feth-Allah, Bosch I Sais Jordi, Casol Nicolas, Jouet Jeremie, Leger Olivier, Menet Cedric
151,36662,13642
bus0,l1:a:v36,l1:r:v25
bus1,l1:a:v15,l3:a:v37,l3:r:v43
bus34,l2:r:v35,l3:r:v12,l3:r:v33,l10:r:v18
bus35,l1:a:v28,l2:r:v20,l11:a:v1,l12:r:v6
bus36,l2:a:v6,l5:a:v6
bus37,l1:a:v8,l10:a:v8,l15:a:v2
bus38,l2:a:v22,l3:a:v11,l3:r:v34,l11:a:v6
bus39,l2:r:v23,l15:r:v6
bus40,l2:r:v4,l13:r:v8,l14:a:v7
bus41,l3:a:v30,l14:r:v3
bus42,l10:a:v2,l12:a:v16,l14:r:v5
bus43,l3:a:v1,l10:a:v11
bus44,l1:r:v1,l1:r:v37,l5:r:v11,l10:a:v12
bus45,l6:r:v1,l7:r:v6,l14:a:v1
bus46,l2:r:v10,l2:r:v37,l11:r:v14,l12:a:v2,l14:r:v6
bus47,l1:a:v18,l2:a:v38,l2:r:v36,l14:r:v2
bus48,l7:a:v7,l12:a:v9,l12:a:v19,l14:r:v1
bus49,l12:r:v19,l12:r:v21
bus50,l2:r:v17,l7:r:v9
bus51,l1:r:v27,l2:a:v18,l3:a:v14,l10:r:v6,l15:r:v5
bus52,l3:a:v26,l13:r:v9,l14:r:v10
bus53,l1:r:v20,l2:r:v32,l3:a:v20,l3:a:v28,l5:r:v2
bus54,l12:r:v12
bus55,l3:r:v8,l4:r:v8,l7:a:v9,l12:a:v11
bus56,l1:r:v9,l10:r:v11,l12:r:v16
bus57,l1:a:v32,l2:r:v8,l3:r:v30,l10:a:v6
bus58,l1:a:v1,l1:a:v10,l3:r:v35,l4:a:v5,l7:a:v4,l11:a:v19,l14:a:v8
bus59,l1:r:v7,l1:r:v11,l3:a:v36,l11:r:v10,l11:r:v19
bus60,l2:r:v15,l3:r:v26,l14:r:v11
bus61,l1:r:v26
bus62,l1:a:v27,l1:r:v31,l10:a:v4
bus63,l2:r:v38,l4:r:v3,l7:r:v7,l12:r:v9
bus64,l10:r:v16,l13:r:v5
bus65,l1:a:v11,l3:a:v5,l4:a:v11,l6:a:v9
bus66,l1:r:v18,l2:a:v37,l10:r:v4
bus67,l1:r:v8,l2:a:v1,l2:a:v13,l5:a:v10,l9:a:v3
bus68,l1:a:v44,l2:r:v29,l6:r:v4,l12:a:v7,l15:r:v1
bus69,l1:r:v10,l3:r:v22,l3:r:v31,l11:a:v11,l11:a:v18
bus70,l2:a:v35,l6:a:v2
bus71,l1:a:v23,l6:a:v1
bus72,l1:a:v3,l1:a:v26,l2:a:v12,l2:r:v14,l2:r:v30,l3:a:v41,l5:a:v7,l13:a:v5,l15:r:v9
bus73,l12:r:v4
bus74,l3:a:v7,l4:r:v10,l6:a:v3,l14:a:v5
bus75,l1:r:v30,l3:a:v6,l4:r:v2,l5:r:v12
bus76,l1:r:v4,l3:a:v2,l3:r:v44,l9:r:v3,l10:r:v14,l12:r:v11,l13:r:v4
bus77,l1:r:v21,l3:a:v15,l4:a:v4
bus78,l3:a:v18,l11:a:v5,l14:a:v9
bus79,l2:a:v24,l2:r:v19
bus80,l1:r:v29,l3:a:v23,l3:r:v21,l5:r:v7,l11:r:v5,l12:a:v1
bus81,l2:r:v21,l10:r:v2,l11:a:v14,l14:a:v4
bus82,l1:a:v17,l13:r:v6
bus83,l1:r:v41,l2:r:v2,l3:r:v40,l7:r:v1
bus84,l10:a:v7,l11:a:v13
bus85,l1:r:v24,l1:r:v36,l2:a:v15,l3:r:v14
bus86,l2:r:v33,l2:r:v41,l9:a:v2,l11:r:v13,l14:a:v6
bus87,l9:r:v1,l12:r:v20,l15:a:v6,l15:r:v2
bus88,l1:a:v22,l1:a:v30,l6:a:v5,l13:a:v10
bus89,l1:a:v21,l12:r:v7,l12:r:v18
bus90,l3:a:v12,l3:a:v35,l11:a:v10
bus91,l1:a:v13,l1:r:v6,l1:r:v32,l2:r:v42,l4:r:v4,l4:r:v9
bus92,l2:r:v28,l3:a:v17,l13:r:v2
bus93,l1:a:v7,l2:a:v17,l4:r:v7,l13:r:v3,l13:r:v10
bus94,l1:r:v5,l3:a:v38,l5:r:v8,l13:a:v4,l13:a:v9,l14:a:v12
bus95,l3:a:v10,l3:a:v33,l3:r:v3,l5:a:v12,l9:r:v2
bus96,l1:r:v33,l7:a:v2,l7:r:v4,l13:a:v7
bus97,l1:r:v12,l3:a:v44,l11:r:v2,l12:a:v14
bus98,l2:r:v43,l5:a:v5,l5:r:v5,l9:a:v4,l14:r:v8
bus99,l2:a:v19
bus100,l12:r:v17
bus101,l1:r:v3,l3:a:v21,l3:r:v27,l15:a:v9
bus102,l2:r:v13,l7:a:v6
bus103,l1:a:v43,l6:r:v3,l11:a:v2,l15:r:v7
bus104,l10:a:v1
bus105,l1:r:v39,l2:a:v29,l3:a:v19,l3:a:v25
bus106,l2:a:v25,l3:r:v36,l3:r:v41,l5:r:v4,l12:a:v3
bus107,l1:a:v33,l6:r:v6,l10:r:v3
bus108,l2:r:v18,l2:r:v26,l12:a:v21,l14:a:v2
bus109,l1:a:v14,l3:a:v22,l3:a:v40,l11:r:v12
bus110,l3:r:v1,l12:r:v10
bus111,l2:a:v26
bus112,l2:a:v20,l2:r:v7,l3:a:v43,l3:r:v32,l11:r:v6
bus113,l3:r:v7,l12:a:v18
bus114,l2:a:v31,l2:r:v9,l3:r:v17,l5:a:v1,l12:a:v20
bus115,l1:a:v41,l4:a:v1,l4:r:v11,l7:a:v8,l11:a:v8
bus116,l15:a:v4,l15:r:v4
bus117,l1:a:v9,l1:a:v40,l3:r:v25,l12:a:v15
bus118,l1:a:v34,l1:r:v19,l3:r:v9,l3:r:v28,l7:r:v3
bus119,l2:a:v7,l10:r:v8,l14:r:v12
bus120,l6:r:v2,l11:a:v3,l15:a:v7
bus121,l1:a:v6,l5:a:v4,l7:a:v5,l11:r:v17,l15:a:v5
bus122,l1:r:v14,l4:a:v6,l4:a:v9,l5:a:v2,l5:a:v8,l10:a:v18
bus123,l1:a:v38,l2:a:v11
bus124,l1:a:v39,l2:a:v4,l10:a:v5,l12:r:v14
bus125,l1:r:v34,l2:r:v39,l3:a:v13,l10:r:v1
bus126,l1:a:v5,l1:r:v13,l10:r:v12
bus127,l6:a:v10,l12:r:v5
bus128,l3:r:v13,l10:a:v15,l15:a:v8
bus129,l1:r:v15,l3:r:v10,l10:a:v14,l13:a:v11
bus130,l1:a:v2,l1:r:v38,l3:r:v37,l11:a:v7,l12:r:v2
bus131,l3:a:v16,l3:r:v5,l4:r:v5,l7:a:v10,l10:r:v15,l11:a:v12
bus132,l1:r:v35,l5:r:v1,l10:a:v16
bus133,l6:a:v6,l10:a:v13,l13:r:v1
bus134,l1:a:v12,l1:a:v16,l2:r:v6,l2:r:v27,l4:a:v2
bus135,l2:a:v34,l7:a:v3,l10:r:v10,l11:r:v7
bus136,l3:a:v42,l4:a:v7,l11:r:v1
bus137,l2:a:v28,l2:r:v25,l11:r:v8,l12:a:v23
bus138,l2:a:v33,l2:r:v22,l3:r:v18,l4:a:v12,l13:r:v7
bus139,l2:a:v36,l2:r:v31,l6:r:v8,l11:a:v9,l12:a:v12
bus140,l10:a:v19
bus141,l1:a:v42,l11:a:v17,l15:a:v3
bus142,l2:r:v5,l2:r:v16,l11:r:v11
bus143,l1:a:v29,l3:a:v29,l3:r:v29,l13:a:v3
bus144,l3:r:v42,l5:a:v3,l11:r:v9,l12:r:v15,l14:a:v10
bus145,l1:a:v31,l2:a:v16,l2:a:v27,l2:r:v1,l3:a:v27,l12:a:v4
bus146,l2:r:v3,l3:r:v39,l5:r:v10,l6:r:v7,l14:a:v3
bus147,l1:r:v40,l5:r:v3,l7:r:v5
bus148,l2:a:v5,l2:r:v40
bus149,l3:r:v15,l10:a:v3
bus150,l1:r:v22,l3:r:v19
