#Bentoumi Feth-Allah, Bosch I Sais Jordi, Casol Nicolas, Jouet Jeremie, Leger Olivier, Menet Cedric
107,71597,12877
bus0,l5:a:v1,l14:a:v10,l7:a:v10
bus1,l3:r:v4,l4:a:v1,l12:a:v6,l9:r:v2,l1:r:v25,l3:a:v34,l15:a:v9
bus2,l3:a:v8,l13:a:v3,l12:r:v8,l5:a:v11
bus3,l2:r:v1,l3:r:v10,l7:a:v4,l1:r:v15,l10:r:v9,l4:r:v8
bus94,l15:r:v2,l13:a:v4,l13:a:v5,l2:r:v22,l3:a:v27,l1:r:v26,l12:a:v22
bus95,l1:a:v1,l2:a:v6,l3:r:v18,l2:r:v20,l10:r:v11,l3:r:v34,l2:a:v34,l1:a:v44
bus96,l1:a:v3,l1:a:v7,l11:a:v7,l10:a:v11,l1:r:v29,l7:r:v9
bus97,l3:a:v7,l2:r:v11,l3:r:v25,l12:a:v23
bus98,l11:a:v4,l2:a:v15,l11:a:v10,l12:a:v14,l13:r:v8,l1:r:v41
bus99,l3:r:v13,l2:r:v14,l11:a:v12,l4:a:v10,l10:r:v17
bus100,l11:r:v7,l7:a:v6,l10:r:v12,l1:a:v35
bus101,l2:a:v10,l7:a:v5,l3:a:v29,l12:a:v17
bus102,l1:a:v5,l6:a:v2,l3:a:v17,l2:r:v23,l2:r:v25
bus103,l3:r:v1,l10:r:v7,l12:r:v10,l2:a:v32,l2:r:v35,l2:a:v37,l3:r:v43
bus104,l1:r:v10,l3:a:v18,l2:r:v18,l3:r:v27,l2:r:v38
bus105,l2:r:v4,l3:a:v23,l2:a:v30
bus106,l3:r:v7,l2:a:v26,l5:r:v10,l1:a:v39
